region_pair,region1,region2,object,p_value,f_stat,null_f_stat,subject,date
PERI → TEa,PERI,TEa,object1,0.26147704590818366,1.5026541408616843,1.4122453508518584,459601,20240409
TEa → PERI,TEa,PERI,object1,0.05389221556886228,1.7288042582620256,1.4842982375410099,459601,20240409
PERI → TEa,PERI,TEa,object2,0.998003992015968,1.1191588724992945,1.4461361717412542,459601,20240409
TEa → PERI,TEa,PERI,object2,0.6447105788423154,1.4535344317766428,1.508686352765014,459601,20240409
PERI → TEa,PERI,TEa,object3,0.32934131736526945,1.5240300330689285,1.4577610478489809,459601,20240409
TEa → PERI,TEa,PERI,object3,0.6107784431137725,1.4007454161264314,1.4371723403784633,459601,20240409
PERI → VIS,PERI,VIS,object1,0.3992015968063872,1.528736729298591,1.4886157579692645,459601,20240409
VIS → PERI,VIS,PERI,object1,0.24550898203592814,1.5726004431370082,1.4794734762070345,459601,20240409
PERI → VIS,PERI,VIS,object2,0.780439121756487,1.356251544906518,1.463147426755812,459601,20240409
VIS → PERI,VIS,PERI,object2,0.7544910179640718,1.4111110137145255,1.502642797050156,459601,20240409
PERI → VIS,PERI,VIS,object3,0.027944111776447105,1.7544167968157285,1.4443619675704449,459601,20240409
VIS → PERI,VIS,PERI,object3,0.11377245508982035,1.6824400670361084,1.4938623248238203,459601,20240409
PERI → CA1,PERI,CA1,object1,0.2315369261477046,1.5897433156027945,1.4763318707812836,459601,20240409
CA1 → PERI,CA1,PERI,object1,0.7345309381237525,1.4515070910875383,1.5424521944975047,459601,20240409
PERI → CA1,PERI,CA1,object2,0.8902195608782435,1.3194400742255439,1.4960728756365074,459601,20240409
CA1 → PERI,CA1,PERI,object2,0.8143712574850299,1.3526922192506465,1.4817658116604817,459601,20240409
PERI → CA1,PERI,CA1,object3,0.3193612774451098,1.4875078057958129,1.435295592856193,459601,20240409
CA1 → PERI,CA1,PERI,object3,0.7604790419161677,1.438719112644423,1.5415101572470027,459601,20240409
TEa → VIS,TEa,VIS,object1,0.35129740518962077,1.5033698106432398,1.4492306391057899,459601,20240409
VIS → TEa,VIS,TEa,object1,0.9660678642714571,1.2233528846147348,1.4875419835910804,459601,20240409
TEa → VIS,TEa,VIS,object2,0.5728542914171657,1.4718316448681776,1.4924374584915996,459601,20240409
VIS → TEa,VIS,TEa,object2,0.5848303393213573,1.4368244537502748,1.467433708534412,459601,20240409
TEa → VIS,TEa,VIS,object3,0.6307385229540918,1.4192347091823636,1.4591618741930619,459601,20240409
VIS → TEa,VIS,TEa,object3,0.007984031936127744,1.7864949389493014,1.4227837663825906,459601,20240409
TEa → CA1,TEa,CA1,object1,0.021956087824351298,1.826376941912166,1.4885794400035186,459601,20240409
CA1 → TEa,CA1,TEa,object1,0.015968063872255488,1.886221234610101,1.5196406206669137,459601,20240409
TEa → CA1,TEa,CA1,object2,0.2934131736526946,1.5731920276369702,1.4959345465453509,459601,20240409
CA1 → TEa,CA1,TEa,object2,0.24750499001996007,1.5950398636371874,1.4967752765190103,459601,20240409
TEa → CA1,TEa,CA1,object3,0.5029940119760479,1.45705294562726,1.4584225724809505,459601,20240409
CA1 → TEa,CA1,TEa,object3,0.93812375249501,1.21106999575831,1.4056017350511216,459601,20240409
VIS → CA1,VIS,CA1,object1,0.9500998003992016,1.2194044649076659,1.4709998737637222,459601,20240409
CA1 → VIS,CA1,VIS,object1,0.1157684630738523,1.7096186559570006,1.5141953063490956,459601,20240409
VIS → CA1,VIS,CA1,object2,0.39520958083832336,1.5365108790585051,1.4915465094066824,459601,20240409
CA1 → VIS,CA1,VIS,object2,0.9860279441117764,1.2048471105380472,1.491345841420272,459601,20240409
VIS → CA1,VIS,CA1,object3,0.6347305389221557,1.4216349412990508,1.4845681001064641,459601,20240409
CA1 → VIS,CA1,VIS,object3,0.3373253493013972,1.5661630899994163,1.5039819089934379,459601,20240409
PERI → TEa,PERI,TEa,object1,0.027944111776447105,1.6949948654841727,1.4651886961728562,459601,20240410
TEa → PERI,TEa,PERI,object1,0.6666666666666666,1.4797605019394053,1.5319736928427616,459601,20240410
PERI → TEa,PERI,TEa,object2,0.36127744510978044,1.5257998693146202,1.4738797551071623,459601,20240410
TEa → PERI,TEa,PERI,object2,0.6946107784431138,1.4858783896471113,1.5490368330014272,459601,20240410
PERI → TEa,PERI,TEa,object3,0.16766467065868262,1.6011694765089073,1.4865124419631521,459601,20240410
TEa → PERI,TEa,PERI,object3,0.26746506986027946,1.4995879177358338,1.4321333960927463,459601,20240410
PERI → VIS,PERI,VIS,object1,0.8782435129740519,1.360311833820403,1.482775353576137,459601,20240410
VIS → PERI,VIS,PERI,object1,0.4930139720558882,1.4727450484503197,1.470844950541541,459601,20240410
PERI → VIS,PERI,VIS,object2,0.6766467065868264,1.4305076222660185,1.4770183892488515,459601,20240410
VIS → PERI,VIS,PERI,object2,0.4171656686626746,1.537260124591416,1.513380619888991,459601,20240410
PERI → VIS,PERI,VIS,object3,0.780439121756487,1.387991631415643,1.4800673541367642,459601,20240410
VIS → PERI,VIS,PERI,object3,0.6846307385229541,1.4571157169354272,1.505617020962458,459601,20240410
PERI → CA1,PERI,CA1,object1,0.6626746506986028,1.46371493480477,1.5061062308704265,459601,20240410
CA1 → PERI,CA1,PERI,object1,0.16367265469061876,1.6310189496576257,1.516402900007163,459601,20240410
PERI → CA1,PERI,CA1,object2,0.25149700598802394,1.5905142871639626,1.5084097653556614,459601,20240410
